,gene_id
868,Cisd2
869,Cit
870,Cited2
871,Ckap5
872,Ckb
873,Ckmt1
874,Clasp2
875,Clcc1
876,Clcn3
877,Clcn4-2
878,Cldn10
879,Cldn11
880,Cldn12
881,Cldn5
882,Cldnd1
883,Clec2l
884,Clic1
885,Clic4
886,Clip1
887,Clip3
888,Clk1
889,Clk3
890,Clk4
891,Clmn
892,Cln5
893,Clns1a
894,Clock
895,Clpp
896,Clptm1
897,Clptm1l
898,Clpx
899,Clstn1
900,Clstn2
901,Clstn3
902,Clta
903,Cltb
904,Cltc
905,Clu
906,Cmas
907,Cmbl
908,Cmip
909,Cml1
910,Cmpk1
911,Cmtm3
912,Cmtm5
913,Cmtm6
914,Cnbp
915,Cnep1r1
916,Cnih1
917,Cnih2
918,Cnih3
919,Cnih4
920,Cnksr2
921,Cnn2
922,Cnn3
923,Cnot10
924,Cnot2
925,Cnot4
926,Cnot6
927,Cnot6l
928,Cnot7
929,Cnot8
930,Cnp
931,Cnpy2
932,Cnr1
933,Cnrip1
934,Cntn1
935,Cntn4
936,Cntn6
937,Cntnap2
938,Cntnap4
939,Cntnap5a
940,Cntnap5b
941,Cntrl
942,Coa3
943,Coa5
944,Coch
945,Cog4
946,Cog6
947,Cog7
948,Col19a1
949,Col1a2
950,Col23a1
951,Col25a1
952,Col4a1
953,Col4a2
954,Col5a1
955,Col6a1
956,Col8a1
957,Colec12
958,Colgalt1
959,Commd1
960,Commd3
961,Commd4
962,Commd6
963,Commd7
964,Commd8
965,Comt
966,Copa
967,Copb1
968,Copb2
969,Cope
970,Copg1
971,Coprs
972,Cops2
973,Cops3
974,Cops4
975,Cops5
976,Cops6
977,Cops7a
978,Cops8
979,Copz1
980,Copz2
981,Coq10b
982,Coq2
983,Coq5
984,Coq7
985,Coq9
986,Coro1a
987,Coro1b
988,Coro1c
989,Cort
990,Cox14
991,Cox17
992,Cox4i1
993,Cox5a
994,Cox5b
995,Cox6a1
996,Cox6a2
997,Cox6b1
998,Cox6c
999,Cox7a2
1000,Cox7a2l
1001,Cox7b
1002,Cox7c
1003,Cox8a
1004,Cp
1005,Cpe
1006,Cpeb2
1007,Cpeb4
1008,Cplx1
1009,Cplx2
1010,Cplx3
1011,Cpne2
1012,Cpne4
1013,Cpne5
1014,Cpne6
1015,Cpne7
1016,Cpne8
1017,Cpne9
1018,Cpq
1019,Cpsf3
1020,Cpsf6
1021,Cpt1a
1022,Cpt1c
1023,Cr1l
1024,Crbn
1025,Creb1
1026,Creb3
1027,Crebbp
1028,Crebrf
1029,Crebzf
1030,Creg1
1031,Creld2
1032,Crem
1033,Crh
1034,Crhbp
1035,Crip1
1036,Crip2
1037,Cript
1038,Crispld2
1039,Crk
1040,Crmp1
1041,Crot
1042,Crtac1
1043,Crtap
1044,Cry2
1045,Cryab
1046,Crym
1047,Cryzl1
1048,Cs
1049,Csdc2
1050,Csde1
1051,Cse1l
1052,Csf1r
1053,Csgalnact1
1054,Csmd1
1055,Csmd3
1056,Csnk1a1
1057,Csnk1d
1058,Csnk1e
1059,Csnk1g3
1060,Csnk2b
1061,Cspg5
1062,Cspp1
1063,Csrnp3
1064,Csrp1
1065,Csrp2
1066,Cst3
1067,Cstb
1068,Cstf2t
1069,Cstf3
1070,Ctage5
1071,Ctbp1
1072,Ctdspl2
1073,Ctgf
1074,Cth
1075,Cthrc1
1076,Ctla2a
1077,Ctnna1
1078,Ctnna2
1079,Ctnnb1
1080,Ctnnd2
1081,Ctps
1082,Ctps2
1083,Ctsa
1084,Ctsb
1085,Ctsc
1086,Ctsd
1087,Ctsf
1088,Ctsh
1089,Ctsl
1090,Ctso
1091,Ctss
1092,Ctsz
1093,Cttn
1094,Cttnbp2
1095,Ctxn1
1096,Ctxn2
1097,Cuedc2
1098,Cul1
1099,Cul2
1100,Cul3
1101,Cul4a
1102,Cul5
1103,Cuta
1104,Cux1
1105,Cux2
1106,Cwc15
1107,Cx3cl1
1108,Cxadr
1109,Cxcl12
1110,Cxcl14
1111,Cxx1c
1112,Cxxc4
1113,Cyb561
1114,Cyb5a
1115,Cyb5b
1116,Cyb5r1
1117,Cyb5r3
1118,Cyba
1119,Cyc1
1120,Cycs
1121,Cyfip1
1122,Cyfip2
1123,Cygb
1124,Cyhr1
1125,Cyld
1126,Cyp26b1
1127,Cyp2d22
1128,Cyp2j6
1129,Cyp2j9
1130,Cyp46a1
1131,Cyp4f15
1132,Cyp51
1133,Cyp7b1
1134,Cyr61
1135,Cystm1
1136,Cyth1
1137,Cyth2
1138,D10Bwg1379e
1139,D15Ertd621e
1140,D3Ertd254e
1141,D430041D05Rik
1142,D8Ertd738e
1143,Daam1
1144,Daam2
1145,Dab1
1146,Dab2
1147,Dad1
1148,Dag1
1149,Dalrd3
1150,Dap3
1151,Dars
1152,Dazap2
1153,Dbi
1154,Dbn1
1155,Dbndd2
1156,Dbnl
1157,Dbx2
1158,Dcaf11
1159,Dcaf12l1
1160,Dcaf13
1161,Dcaf17
1162,Dcaf7
1163,Dcaf8
1164,Dcc
1165,Dclk1
1166,Dcn
1167,Dctn1
1168,Dctn2
1169,Dctn3
1170,Dctn5
1171,Dctn6
1172,Dcun1d4
1173,Dcun1d5
1174,Dda1
1175,Ddah1
1176,Ddb1
1177,Ddhd1
1178,Ddit3
1179,Ddit4l
1180,Ddost
1181,Ddrgk1
1182,Ddt
1183,Ddx1
1184,Ddx17
1185,Ddx24
1186,Ddx25
1187,Ddx26b
1188,Ddx39
1189,Ddx39b
1190,Ddx3x
1191,Ddx3y
1192,Ddx42
1193,Ddx46
1194,Ddx47
1195,Ddx5
1196,Ddx50
1197,Ddx6
1198,Deb1
1199,Decr1
1200,Degs1
1201,Degs2
1202,Dek
1203,Dennd4a
1204,Dennd5a
1205,Dennd5b
1206,Dennd6b
1207,Denr
1208,Deptor
1209,Derl1
1210,Derl2
1211,Desi1
1212,Dgat2
1213,Dgcr2
1214,Dgcr6
1215,Dgkb
1216,Dgkg
1217,Dgkh
1218,Dgkz
1219,Dhrs1
1220,Dhrs7
1221,Dhx15
1222,Dhx30
1223,Dhx36
